Chocolate milk (1 cup),208
Skim milk,86
Pudding(1/2 cup),161
Apple Juice (1 cup),81
Banana,105
Orange Juice,112
Raisins(1/2 cup),302
Sweet potato (1 large),118
Biscuit(1),103
Breadsticks(2 sticks),77
White Bread(1 slice),61
Bread (whole wheat)(1 slice),55
Cookie (oatmeal raisin)(1),62
Muffin,130
Pancake (4 inch diameter),41
